CustomerID,Recency,Frequency,Monetary,Recency_NORM,Frequency_NORM,Monetary_NORM,R_CLUSTER,F_CLUSTER,M_CLUSTER,FinalCluster,Segment
7592,1,200,13990.929999999977,-1.5771812080536913,99.5,161.20573277854803,0,2,2,4,High-Value
14048,0,217,8976.329999999993,-1.580536912751678,108.0,103.24687933425788,0,2,2,4,High-Value
7983,5,148,6973.069999999989,-1.563758389261745,73.5,80.09315765140994,0,2,2,4,High-Value
19339,445,56,6552.7,-0.087248322147651,27.5,75.23451225150254,1,1,2,4,High-Value
7931,17,62,6497.1799999999985,-1.523489932885906,30.5,74.59281091077204,0,1,2,3,High-Value
6569,7,42,4968.0,-1.5570469798657718,20.5,56.91851595006934,0,1,2,3,High-Value
22279,107,13,4490.64,-1.221476510067114,6.0,51.40117891816921,0,3,2,5,High-Value
499,9,85,4378.549999999996,-1.5503355704697988,42.0,50.10564031437812,0,2,2,4,High-Value
3049,1,110,4262.849999999991,-1.5771812080536913,54.5,48.768377253814045,0,2,2,4,High-Value
15162,14,32,4234.449999999999,-1.5335570469798658,15.5,48.440129449838174,0,1,2,3,High-Value
16517,6,35,4185.099999999999,-1.5604026845637584,17.0,47.869741100323616,0,1,2,3,High-Value
2664,19,29,4100.2699999999995,-1.516778523489933,14.0,46.88927415626444,0,1,2,3,High-Value
22061,11,142,3948.899999999991,-1.5436241610738255,70.5,45.13973647711501,0,2,2,4,High-Value
13167,38,50,3898.6999999999985,-1.4530201342281879,24.5,44.55952380952379,0,1,2,3,High-Value
12367,14,60,3798.2399999999975,-1.5335570469798658,29.5,43.39840499306516,0,1,2,3,High-Value
14894,466,7,3363.9300000000003,-0.016778523489932886,3.0,38.37864077669903,1,3,1,5,High-Value
1077,9,49,3324.489999999999,-1.5503355704697988,24.0,37.922792417938034,0,1,1,2,Mid-Value
21739,28,23,3319.83,-1.4865771812080537,11.0,37.86893203883495,0,1,1,2,Mid-Value
20917,74,49,3077.45,-1.332214765100671,24.0,35.06749884419787,0,1,1,2,Mid-Value
21950,5,27,2982.8000000000006,-1.563758389261745,13.0,33.97353213129912,0,1,1,2,Mid-Value
2908,1,32,2914.87,-1.5771812080536913,15.5,33.18839574664817,0,1,1,2,Mid-Value
586,224,33,2849.6399999999985,-0.8288590604026845,16.0,32.43446601941746,2,1,1,4,High-Value
17337,337,11,2599.62,-0.44966442953020136,5.0,29.544729542302356,2,3,1,6,Top Customer
12098,12,21,2594.3299999999995,-1.5402684563758389,10.0,29.483587609801194,0,1,1,2,Mid-Value
8250,2,35,2582.74,-1.5738255033557047,17.0,29.34963014331946,0,1,1,2,Mid-Value
710,5,61,2502.299999999998,-1.563758389261745,30.0,28.419902912621332,0,1,1,2,Mid-Value
313,37,20,2432.29,-1.4563758389261745,9.5,27.61072584373555,0,1,1,2,Mid-Value
16175,82,13,2417.54,-1.3053691275167785,6.0,27.440245030050853,0,3,1,4,High-Value
3901,2,41,2411.5299999999997,-1.5738255033557047,20.0,27.37078132223763,0,1,1,2,Mid-Value
22492,87,19,2388.72,-1.2885906040268456,9.0,27.107142857142854,0,1,1,2,Mid-Value
19597,12,107,2357.5699999999997,-1.5402684563758389,53.0,26.747110494683305,0,2,1,3,High-Value
22348,5,30,2356.890000000001,-1.563758389261745,14.5,26.739251040221923,0,1,1,2,Mid-Value
21694,15,28,2350.4999999999995,-1.5302013422818792,13.5,26.665395284327317,0,1,1,2,Mid-Value
17523,95,17,2280.08,-1.261744966442953,8.0,25.851479426722143,0,1,1,2,Mid-Value
17799,15,17,2202.1100000000006,-1.5302013422818792,8.0,24.950300508552942,0,1,1,2,Mid-Value
10079,46,67,2200.81,-1.4261744966442953,33.0,24.93527508090615,0,1,1,2,Mid-Value
8956,4,35,2131.0200000000004,-1.5671140939597314,17.0,24.128640776699033,0,1,1,2,Mid-Value
5223,13,27,2125.8700000000003,-1.5369127516778522,13.0,24.069116967175223,0,1,1,2,Mid-Value
12352,3,22,2102.92,-1.570469798657718,10.5,23.803860379103096,0,1,1,2,Mid-Value
7145,64,102,2079.39,-1.3657718120805369,50.5,23.53190013869625,0,2,1,3,High-Value
21685,104,25,2031.0600000000002,-1.2315436241610738,12.0,22.973300970873783,0,1,1,2,Mid-Value
1965,2,40,2010.98,-1.5738255033557047,19.5,22.741215903837258,0,1,1,2,Mid-Value
11519,18,22,2008.9100000000003,-1.5201342281879195,10.5,22.71729079981507,0,1,1,2,Mid-Value
10902,3,31,1966.7100000000005,-1.570469798657718,15.0,22.22954230235784,0,1,1,2,Mid-Value
10550,187,15,1947.1100000000001,-0.9530201342281879,7.0,22.003005085529356,2,1,1,4,High-Value
5420,150,24,1943.5800000000004,-1.0771812080536913,11.5,21.962205270457698,0,1,1,2,Mid-Value
4995,23,41,1895.7300000000002,-1.5033557046979866,20.0,21.409153952843273,0,1,1,2,Mid-Value
4459,25,65,1867.3200000000004,-1.4966442953020134,32.0,21.08079056865465,0,1,1,2,Mid-Value
1848,29,34,1866.6800000000003,-1.483221476510067,16.5,21.073393435043922,0,1,1,2,Mid-Value
9886,9,22,1850.5000000000002,-1.5503355704697988,10.5,20.886384650947758,0,1,1,2,Mid-Value
12860,10,42,1846.3400000000004,-1.5469798657718121,20.5,20.83830328247804,0,1,1,2,Mid-Value
7713,44,14,1805.8500000000001,-1.4328859060402686,6.5,20.37031900138696,0,3,1,4,High-Value
8830,20,11,1800.17,-1.5134228187919463,5.0,20.30466944059177,0,3,1,4,High-Value
16067,69,27,1787.3600000000001,-1.348993288590604,13.0,20.156611188164586,0,1,1,2,Mid-Value
2484,1,78,1784.3600000000008,-1.5771812080536913,38.5,20.121937124364315,0,1,1,2,Mid-Value
411,179,20,1769.3,-0.9798657718120806,9.5,19.947873324086913,2,1,1,4,High-Value
20111,13,42,1747.5800000000002,-1.5369127516778522,20.5,19.696833102172906,0,1,1,2,Mid-Value
15779,42,25,1733.0700000000006,-1.4395973154362416,12.0,19.529126213592235,0,1,1,2,Mid-Value
3506,358,24,1730.5699999999997,-0.37919463087248323,11.5,19.50023116042533,2,1,1,4,High-Value
2564,23,32,1726.5200000000004,-1.5033557046979866,15.5,19.453421174294963,0,1,1,2,Mid-Value
8187,56,15,1711.2800000000002,-1.3926174496644295,7.0,19.27727693018955,0,1,1,2,Mid-Value
8035,4,52,1708.9100000000005,-1.5671140939597314,25.5,19.249884419787335,0,1,1,2,Mid-Value
20316,8,35,1687.5200000000004,-1.5536912751677852,17.0,19.002658344891355,0,1,1,2,Mid-Value
