,Customer ID,Monetary,Frequency,Recency,RecencyCluster,FrequencyCluster,MonetaryCluster,OverallScore,Segment
0,AA-10315102,544.6560000000001,6,358,2,2,2,6,High-Value
1,AA-1037564,469.602,6,366,2,2,2,6,High-Value
2,AA-1064564,439.49999999999994,5,355,2,2,2,6,High-Value
3,AB-1001545,2822.727,5,322,2,2,2,6,High-Value
4,AB-1001548,733.176,6,295,2,2,2,6,High-Value
5,AB-1010582,427.68,5,420,2,2,2,6,High-Value
6,AB-10150139,5532.1410000000005,6,510,2,2,2,6,High-Value
7,AB-1015082,1238.2656000000002,5,389,2,2,2,6,High-Value
8,AB-1016548,2432.385,7,547,2,2,2,6,High-Value
9,AB-15060,3048.78,6,398,2,2,2,6,High-Value
10,AC-1042018,328.428,5,536,2,2,2,6,High-Value
11,AC-1061527,2183.7300000000005,6,320,2,2,2,6,High-Value
12,AC-4203,427.23,7,304,2,2,2,6,High-Value
13,AC-6158,253.8,5,461,2,2,2,6,High-Value
14,AD-1018059,6120.2042999999985,6,568,2,2,2,6,High-Value
15,AF-108701406,1562.0860000000002,6,587,2,2,2,6,High-Value
16,AF-108851406,489.90500000000003,5,415,2,2,2,6,High-Value
17,AG-10330139,1188.2220000000002,7,448,2,2,2,6,High-Value
18,AG-1039045,2582.3820000000005,7,413,2,2,2,6,High-Value
19,AG-1039080,1456.77104,6,427,2,2,2,6,High-Value
20,AG-1049548,2168.8259999999996,7,501,2,2,2,6,High-Value
21,AG-1090018,1470.4697600000002,6,489,2,2,2,6,High-Value
22,AH-1003036,858.1398399999999,6,582,2,2,2,6,High-Value
23,AH-1003095,1201.2659999999998,5,468,2,2,2,6,High-Value
24,AH-1007514,1273.0199999999998,6,510,2,2,2,6,High-Value
25,AH-10120139,2240.145,7,393,2,2,2,6,High-Value
26,AH-1019558,676.7399999999999,6,474,2,2,2,6,High-Value
27,AH-1021048,1379.9730000000002,7,420,2,2,2,6,High-Value
28,AH-105857,4531.8989999999985,6,336,2,2,2,6,High-Value
29,AH-195134,1394.376,5,478,2,2,2,6,High-Value
30,AH-19560,957.5100000000001,5,325,2,2,2,6,High-Value
31,AJ-1078018,222.272,5,617,2,2,2,6,High-Value
