,Customer ID,RECENCY,FREQUENCY,MONETARY,FINAL_CLUSTER,SEGMENT
1244,14095.0,722,1,2.95,0,Lost Customer
3829,16738.0,297,1,3.75,2,Mid-Value
950,13788.0,504,1,3.75,0,Lost Customer
1925,14792.0,63,2,6.2,1,Low-Value
3017,15913.0,533,1,6.300000000000001,0,Lost Customer
2157,15040.0,541,1,7.49,0,Lost Customer
5178,18115.0,697,3,9.7,0,Lost Customer
4461,17378.0,373,1,10.95,2,Mid-Value
5020,17956.0,248,1,12.75,2,Mid-Value
3968,16878.0,83,3,13.3,1,Low-Value
399,13219.0,617,2,13.440000000000001,0,Lost Customer
2031,14900.0,521,1,13.919999999999998,0,Lost Customer
1716,14580.0,517,1,14.850000000000001,0,Lost Customer
3631,16537.0,640,3,15.350000000000001,0,Lost Customer
35,12846.0,681,1,15.58,0,Lost Customer
4402,17319.0,668,2,16.5,0,Lost Customer
3195,16093.0,106,1,17.0,1,Low-Value
343,13163.0,609,2,17.65,0,Lost Customer
4897,17831.0,32,1,17.700000000000003,1,Low-Value
1532,14391.0,576,2,18.0,0,Lost Customer
1525,14384.0,500,1,19.5,0,Lost Customer
2366,15250.0,640,1,20.0,0,Lost Customer
3102,15999.0,735,1,20.4,0,Lost Customer
292,13112.0,540,2,20.6,0,Lost Customer
4042,16953.0,29,1,20.8,1,Low-Value
5050,17986.0,55,1,20.8,1,Low-Value
2852,15744.0,77,2,20.879999999999995,1,Low-Value
1746,14610.0,395,8,21.85,2,Mid-Value
1725,14589.0,371,2,23.85,2,Mid-Value
4232,17149.0,450,1,23.85,2,Mid-Value
2400,15284.0,499,1,24.75,0,Lost Customer
4186,17102.0,261,1,25.5,2,Mid-Value
1203,14054.0,64,2,26.46,1,Low-Value
1444,14300.0,18,2,26.7,1,Low-Value
5083,18019.0,51,4,28.55,1,Low-Value
1265,14117.0,143,1,30.0,1,Low-Value
2766,15657.0,22,1,30.0,1,Low-Value
2684,15575.0,618,3,30.1,0,Lost Customer
3642,16548.0,598,6,30.150000000000002,0,Lost Customer
300,13120.0,238,1,30.599999999999998,2,Mid-Value
1291,14144.0,485,1,30.599999999999998,0,Lost Customer
3435,16339.0,283,9,30.9,2,Mid-Value
3550,16454.0,44,4,30.950000000000003,1,Low-Value
2650,15541.0,113,7,31.080000000000005,1,Low-Value
4213,17129.0,519,2,31.85,0,Lost Customer
2094,14977.0,725,4,31.929999999999996,0,Lost Customer
4030,16941.0,611,2,33.0,0,Lost Customer
641,13470.0,98,2,33.0,1,Low-Value
2976,15871.0,436,5,33.099999999999994,2,Mid-Value
4607,17533.0,434,1,34.8,2,Mid-Value
2110,14993.0,563,9,34.83,0,Lost Customer
1712,14576.0,371,1,35.400000000000006,2,Mid-Value
3513,16417.0,492,1,35.7,0,Lost Customer
4059,16970.0,625,1,35.7,0,Lost Customer
3044,15940.0,310,1,35.8,2,Mid-Value
4981,17916.0,628,12,35.92000000000001,0,Lost Customer
4843,17775.0,254,2,36.0,2,Mid-Value
4435,17352.0,695,5,36.25,0,Lost Customer
4346,17263.0,207,12,37.05,2,Mid-Value
3262,16162.0,251,2,37.4,2,Mid-Value
2802,15693.0,658,1,37.5,0,Lost Customer
2566,15455.0,597,2,38.25,0,Lost Customer
4329,17246.0,546,6,38.92,0,Lost Customer
3751,16659.0,188,2,39.12,1,Low-Value
4332,17249.0,428,15,39.440000000000005,2,Mid-Value
1235,14086.0,462,1,39.95,2,Mid-Value
4257,17174.0,217,3,40.4,2,Mid-Value
2294,15178.0,259,3,40.5,2,Mid-Value
1411,14266.0,427,1,40.56,2,Mid-Value
3319,16219.0,500,1,40.8,0,Lost Customer
4523,17446.0,176,3,41.7,1,Low-Value
49,12860.0,692,9,41.72,0,Lost Customer
1058,13906.0,408,1,42.0,2,Mid-Value
1064,13913.0,506,3,42.22,0,Lost Customer
3296,16196.0,488,2,42.3,0,Lost Customer
845,13682.0,186,2,42.5,1,Low-Value
1785,14650.0,588,3,43.0,0,Lost Customer
4665,17592.0,738,4,43.0,0,Lost Customer
5096,18033.0,64,13,44.029999999999994,1,Low-Value
3691,16599.0,385,3,44.1,2,Mid-Value
362,13182.0,44,4,44.14,1,Low-Value
2489,15375.0,689,4,44.94,0,Lost Customer
955,13793.0,646,3,45.0,0,Lost Customer
2781,15672.0,724,3,45.300000000000004,0,Lost Customer
1579,14438.0,305,4,45.4,2,Mid-Value
2807,15698.0,623,2,46.2,0,Lost Customer
610,13438.0,546,1,46.5,0,Lost Customer
3356,16257.0,176,2,46.95,1,Low-Value
1302,14155.0,265,2,47.35,2,Mid-Value
398,13218.0,126,4,47.64,1,Low-Value
3271,16171.0,58,2,48.3,1,Low-Value
3624,16530.0,667,3,48.349999999999994,0,Lost Customer
50,12861.0,619,3,48.449999999999996,0,Lost Customer
1535,14394.0,564,3,48.8,0,Lost Customer
1521,14380.0,681,1,48.96,0,Lost Customer
4062,16973.0,385,2,49.0,2,Mid-Value
4701,17628.0,80,3,49.35000000000001,1,Low-Value
5246,18184.0,14,1,49.8,1,Low-Value
2939,15833.0,737,3,49.95,0,Lost Customer
3658,16564.0,568,3,50.15,0,Lost Customer
3985,16896.0,554,8,50.45,0,Lost Customer
1878,14743.0,592,3,50.48,0,Lost Customer
194,13011.0,371,3,50.550000000000004,2,Mid-Value
2794,15685.0,449,14,50.88,2,Mid-Value
1492,14351.0,164,1,51.0,1,Low-Value
1097,13947.0,64,3,51.0,1,Low-Value
2751,15642.0,729,3,51.06,0,Lost Customer
433,13254.0,375,4,51.410000000000004,2,Mid-Value
1290,14143.0,133,3,51.8,1,Low-Value
3877,16786.0,393,1,51.839999999999996,2,Mid-Value
2429,15313.0,109,1,52.0,1,Low-Value
4672,17599.0,476,3,52.05,0,Lost Customer
2625,15516.0,44,12,52.730000000000004,1,Low-Value
3445,16349.0,290,9,53.5,2,Mid-Value
484,13306.0,429,4,53.65,2,Mid-Value
4569,17494.0,501,3,54.699999999999996,0,Lost Customer
4299,17216.0,553,9,54.8,0,Lost Customer
276,13095.0,70,4,55.67999999999999,1,Low-Value
2673,15564.0,462,3,55.74,2,Mid-Value
2467,15352.0,548,13,55.79999999999999,0,Lost Customer
541,13366.0,49,1,56.160000000000004,1,Low-Value
3003,15899.0,368,4,56.25,2,Mid-Value
4679,17606.0,736,4,57.0,0,Lost Customer
4971,17906.0,246,10,57.3,2,Mid-Value
640,13469.0,652,4,57.4,0,Lost Customer
2590,15479.0,732,4,58.150000000000006,0,Lost Customer
192,13009.0,672,1,58.5,0,Lost Customer
3337,16238.0,422,5,58.62,2,Mid-Value
2950,15844.0,45,4,59.339999999999996,1,Low-Value
4164,17079.0,77,1,59.400000000000006,1,Low-Value
2485,15371.0,661,1,59.400000000000006,0,Lost Customer
2349,15233.0,400,1,59.400000000000006,2,Mid-Value
565,13391.0,203,1,59.8,2,Mid-Value
1928,14795.0,165,3,59.900000000000006,1,Low-Value
4052,16963.0,186,4,60.150000000000006,1,Low-Value
3697,16605.0,723,1,60.48,0,Lost Customer
4960,17895.0,43,10,60.53,1,Low-Value
4275,17192.0,535,14,60.580000000000005,0,Lost Customer
5095,18032.0,333,4,60.9,2,Mid-Value
4693,17620.0,59,3,61.04,1,Low-Value
3957,16867.0,689,5,61.14,0,Lost Customer
971,13818.0,429,5,61.28,2,Mid-Value
481,13303.0,399,4,61.72,2,Mid-Value
5257,18195.0,386,3,62.160000000000004,2,Mid-Value
1648,14509.0,533,15,62.24,0,Lost Customer
2692,15583.0,375,21,62.27,2,Mid-Value
554,13380.0,432,3,62.4,2,Mid-Value
1176,14027.0,60,4,62.46,1,Low-Value
3160,16058.0,405,2,62.7,2,Mid-Value
4956,17891.0,161,8,63.34,1,Low-Value
2581,15470.0,575,4,63.419999999999995,0,Lost Customer
175,12992.0,724,4,63.5,0,Lost Customer
5008,17944.0,422,18,63.650000000000006,2,Mid-Value
310,13130.0,93,2,64.0,1,Low-Value
3702,16610.0,218,5,64.25999999999999,2,Mid-Value
4859,17791.0,29,6,64.3,1,Low-Value
1965,14833.0,498,5,64.5,0,Lost Customer
4399,17316.0,419,16,64.9,2,Mid-Value
3216,16114.0,170,4,64.95000000000002,1,Low-Value
3880,16789.0,7,4,65.0,1,Low-Value
1088,13938.0,34,6,65.02,1,Low-Value
4606,17532.0,385,4,65.34,2,Mid-Value
4531,17455.0,203,4,65.7,2,Mid-Value
5035,17971.0,547,12,66.24000000000001,0,Lost Customer
3673,16581.0,182,6,67.44,1,Low-Value
1803,14668.0,444,9,67.47999999999999,2,Mid-Value
167,12984.0,18,3,67.5,1,Low-Value
4846,17778.0,661,4,67.65,0,Lost Customer
2063,14946.0,13,2,67.7,1,Low-Value
4291,17208.0,394,13,67.8,2,Mid-Value
1534,14393.0,217,5,67.94999999999999,2,Mid-Value
2037,14906.0,444,1,68.44,2,Mid-Value
2712,15603.0,78,3,68.48,1,Low-Value
992,13839.0,485,3,68.55000000000001,0,Lost Customer
4033,16944.0,609,5,69.38,0,Lost Customer
352,13172.0,399,1,69.6,2,Mid-Value
2958,15853.0,51,16,69.69999999999999,1,Low-Value
4884,17816.0,36,33,70.33,1,Low-Value
2463,15348.0,71,5,70.44000000000001,1,Low-Value
566,13392.0,676,6,70.74,0,Lost Customer
4727,17657.0,429,4,70.8,2,Mid-Value
1066,13915.0,393,2,70.80000000000001,2,Mid-Value
423,13244.0,92,16,71.04,1,Low-Value
1920,14787.0,470,11,71.35,2,Mid-Value
4816,17747.0,112,1,71.4,1,Low-Value
365,13185.0,267,1,71.4,2,Mid-Value
1895,14760.0,296,4,71.5,2,Mid-Value
5187,18124.0,471,12,71.66000000000001,2,Mid-Value
3555,16459.0,729,5,71.78999999999999,0,Lost Customer
285,13105.0,435,1,72.0,2,Mid-Value
1094,13944.0,652,12,72.08000000000001,0,Lost Customer
5168,18105.0,37,13,72.78,1,Low-Value
1118,13968.0,422,4,73.02000000000001,2,Mid-Value
4612,17538.0,25,7,73.22,1,Low-Value
4638,17565.0,586,16,73.38000000000001,0,Lost Customer
5311,18249.0,16,6,73.5,1,Low-Value
1852,14717.0,732,10,73.5,0,Lost Customer
3371,16272.0,116,7,73.6,1,Low-Value
745,13580.0,405,3,73.85,2,Mid-Value
3582,16486.0,537,3,74.44,0,Lost Customer
5021,17957.0,65,21,74.69,1,Low-Value
5318,18256.0,387,7,74.7,2,Mid-Value
113,12929.0,311,5,74.85000000000001,2,Mid-Value
4615,17541.0,509,16,74.87,0,Lost Customer
3516,16420.0,395,2,75.0,2,Mid-Value
834,13671.0,394,21,75.1,2,Mid-Value
2200,15083.0,256,4,75.44999999999999,2,Mid-Value
1715,14579.0,431,18,75.51,2,Mid-Value
3743,16651.0,586,3,75.6,0,Lost Customer
1698,14559.0,389,2,75.6,2,Mid-Value
5090,18027.0,98,11,75.62999999999998,1,Low-Value
2199,15082.0,668,5,75.65,0,Lost Customer
2949,15843.0,303,5,75.75,2,Mid-Value
2952,15846.0,384,18,75.96000000000002,2,Mid-Value
2777,15668.0,217,1,76.32000000000001,2,Mid-Value
1749,14613.0,679,1,76.32000000000001,0,Lost Customer
5176,18113.0,368,1,76.32000000000001,2,Mid-Value
1239,14090.0,324,1,76.32000000000001,2,Mid-Value
1514,14373.0,357,4,76.55,2,Mid-Value
4886,17818.0,737,22,76.73,0,Lost Customer
3722,16630.0,406,3,76.80000000000001,2,Mid-Value
3922,16831.0,564,5,76.95,0,Lost Customer
5210,18148.0,646,8,77.15,0,Lost Customer
312,13132.0,261,3,77.3,2,Mid-Value
1918,14785.0,9,3,77.4,1,Low-Value
4656,17583.0,559,4,77.45,0,Lost Customer
5007,17942.0,7,2,77.50000000000001,1,Low-Value
4974,17909.0,736,6,77.60000000000001,0,Lost Customer
420,13241.0,411,21,77.68,2,Mid-Value
1919,14786.0,549,6,77.76,0,Lost Customer
3347,16248.0,61,4,77.82000000000001,1,Low-Value
2980,15875.0,645,17,77.91999999999999,0,Lost Customer
3851,16760.0,429,5,78.0,2,Mid-Value
3471,16375.0,469,10,78.25,2,Mid-Value
1519,14378.0,621,5,78.44999999999999,0,Lost Customer
3641,16547.0,545,15,78.50999999999999,0,Lost Customer
2421,15305.0,554,4,78.6,0,Lost Customer
2506,15395.0,325,5,79.10000000000001,2,Mid-Value
2861,15753.0,304,1,79.2,2,Mid-Value
1157,14007.0,512,5,79.48,0,Lost Customer
1300,14153.0,482,6,79.5,0,Lost Customer
2091,14974.0,36,14,79.58999999999999,1,Low-Value
